TS,Value
2013-06-18 03:00:00,41
2013-06-18 04:00:00,47
2013-06-18 05:00:00,51
2013-06-18 06:00:00,55
2013-06-18 07:00:00,117
2013-06-18 08:00:00,318
2013-06-18 09:00:00,1062
2013-06-18 10:00:00,1518
2013-06-18 11:00:00,1332
2013-06-18 12:00:00,1085
2013-06-18 13:00:00,1175
2013-06-18 14:00:00,1124
2013-06-18 15:00:00,1195
2013-06-18 16:00:00,1284
2013-06-18 17:00:00,911
2013-06-18 18:00:00,1076
2013-06-18 19:00:00,1094
2013-06-18 20:00:00,1043
2013-06-18 21:00:00,935
2013-06-18 22:00:00,840
2013-06-18 23:00:00,610
2013-06-19 00:00:00,288
2013-06-19 01:00:00,136
2013-06-19 02:00:00,64
2013-06-19 03:00:00,39
2013-06-19 04:00:00,43
2013-06-19 05:00:00,42
2013-06-19 06:00:00,48
2013-06-19 07:00:00,125
2013-06-19 08:00:00,320
2013-06-19 09:00:00,1054
2013-06-19 10:00:00,1513
2013-06-19 11:00:00,1377
2013-06-19 12:00:00,1150
2013-06-19 13:00:00,1094
2013-06-19 14:00:00,1100
2013-06-19 15:00:00,1309
2013-06-19 16:00:00,1107
2013-06-19 17:00:00,942
2013-06-19 18:00:00,1001
2013-06-19 19:00:00,1018
2013-06-19 20:00:00,1112
2013-06-19 21:00:00,1045
2013-06-19 22:00:00,988
2013-06-19 23:00:00,603
2013-06-20 00:00:00,321
2013-06-20 01:00:00,143
2013-06-20 02:00:00,85
2013-06-20 03:00:00,60
2013-06-20 04:00:00,48
2013-06-20 05:00:00,57
2013-06-20 06:00:00,46
2013-06-20 07:00:00,70
2013-06-20 08:00:00,267
2013-06-20 09:00:00,1119
2013-06-20 10:00:00,1594
2013-06-20 11:00:00,1313
2013-06-20 12:00:00,1048
2013-06-20 13:00:00,1147
2013-06-20 14:00:00,1054
2013-06-20 15:00:00,1310
2013-06-20 16:00:00,1173
2013-06-20 17:00:00,854
2013-06-20 18:00:00,867
2013-06-20 19:00:00,945
2013-06-20 20:00:00,1050
2013-06-20 21:00:00,946
2013-06-20 22:00:00,815
2013-06-20 23:00:00,629
2013-06-21 00:00:00,380
2013-06-21 01:00:00,216
2013-06-21 02:00:00,114
2013-06-21 03:00:00,65
2013-06-21 04:00:00,57
2013-06-21 05:00:00,75
2013-06-21 06:00:00,61
2013-06-21 07:00:00,137
2013-06-21 08:00:00,334
2013-06-21 09:00:00,1086
2013-06-21 10:00:00,1458
2013-06-21 11:00:00,1302
2013-06-21 12:00:00,1092
2013-06-21 13:00:00,1147
2013-06-21 14:00:00,1192
2013-06-21 15:00:00,1454
2013-06-21 16:00:00,1182
2013-06-21 17:00:00,882
2013-06-21 18:00:00,971
2013-06-21 19:00:00,1010
2013-06-21 20:00:00,1044
2013-06-21 21:00:00,967
