Fecha,idNodo,Total
407,2014-03-20,1388398577264,170545
408,2014-03-20,1388397331212,18538
409,2014-03-20,1388396134379,20875
410,2014-03-20,1388396290670,1330
411,2014-03-20,1388397916219,32332
412,2014-03-20,1388396029879,13575
413,2014-03-20,1388398421885,17988
414,2014-03-20,1351672500995,34493
415,2014-03-20,1388396196672,5120
416,2014-03-20,1388398219644,24784
417,2014-03-20,1388397600522,123683
418,2014-03-20,1388398456156,8374
419,2014-03-20,1388396634884,4293
420,2014-03-20,1351672370785,44050
421,2014-03-20,1388396568021,1250
422,2014-03-20,1388395655467,5439
423,2014-03-20,1388397963712,56983
424,2014-03-20,1351591868114,438500
425,2014-03-20,1351591800440,127744
426,2014-03-20,1388398517822,53187
427,2014-03-20,1388398156925,57360
428,2014-03-20,1351671926347,631163
429,2014-03-20,1388397145518,1530
430,2014-03-27,1388396290670,144
431,2014-03-27,1388397600522,98628
432,2014-03-27,1388398456156,3787
433,2014-03-27,1388398219644,9926
434,2014-03-27,1388396568021,969
435,2014-03-27,1388398421885,11958
436,2014-03-27,1351672500995,213664
437,2014-03-27,1388396029879,8539
438,2014-03-27,1351591695721,56598
439,2014-03-27,1388397331212,12416
440,2014-03-27,1388396634884,286
441,2014-03-27,1388398517822,40792
442,2014-03-27,1351671926347,97199
443,2014-03-27,1388397916219,27700
444,2014-03-27,1351591868114,340555
445,2014-03-27,1351591800440,475595
446,2014-03-27,1388396134379,6356
447,2014-03-27,1388397145518,1372
448,2014-03-27,1388398577264,132222
449,2014-03-27,1388397694740,52869
450,2014-03-27,1388398156925,40616
451,2014-03-27,1388396196672,3243
452,2014-04-03,1388396029879,6084
453,2014-04-03,1351591695721,36059
454,2014-04-03,1351671926347,255425
455,2014-04-03,1388396196672,4484
456,2014-04-03,1388396134379,9170
457,2014-04-03,1388397221712,4
458,2014-04-03,1388397694740,40365
459,2014-04-03,1388397787434,38414
460,2014-04-03,1351591868114,179400
461,2014-04-03,1388397331212,11465
462,2014-04-03,1388396568021,371
463,2014-04-03,1388398091067,4644
464,2014-04-03,1388398421885,9060
465,2014-04-03,1388398007205,28476
466,2014-04-03,1388397600522,45325
467,2014-04-03,1388397963712,24627
468,2014-04-03,1388398219644,31041
469,2014-04-03,1388397145518,762
470,2014-04-03,1388396397305,6344
471,2014-04-03,1388398517822,29814
472,2014-04-03,1388396290670,816
473,2014-04-03,1388397916219,24709
474,2014-04-03,1388395655467,5328
475,2014-04-03,1351591800440,339035
476,2014-04-03,1388398156925,39618
477,2014-04-03,1388396634884,1156
478,2014-04-03,1388396456974,390
479,2014-04-03,1388398577264,107271
480,2014-04-03,1351672500995,162811
481,2014-04-10,1388396290670,1015
482,2014-04-10,1388397694740,38972
483,2014-04-10,1388397600522,45635
484,2014-04-10,1388398156925,33276
485,2014-04-10,1388398577264,67765
486,2014-04-10,1388397145518,729
487,2014-04-10,1388396456974,1526
488,2014-04-10,1388398007205,39787
